id|name|imdbScore|year|category|link
14|Le Parrain|9.2|1972|popular|/detail/0QX1EUXLLBS07CXIW1KY9F1K68/ref=atv_br_def_r_br_c_unkc_1_18
9|Gladiator|8.5|2000|popular|/detail/0I9W28WNYJE1W14IIK4D3UP4M3/ref=atv_br_def_r_br_c_unkc_1_12
16|Indiana Jones et les Aventuriers de l'Arche Perdue|8.4|1981|popular|/detail/0QSRYPU0NZWSWAWCCN34AQ9BN4/ref=atv_br_def_r_br_c_unkc_1_20
6|Le hobbit - la desolation de smaug|7.8|2013|popular|/detail/0QKBS9KVC00BVV35PHUAO115QJ/ref=atv_br_def_r_br_c_unkc_1_8
15|Apocalypto|7.8|2007|popular|/detail/0N0FPRLT4FUR2NNR0BPW5CZ4X1/ref=atv_br_def_r_br_c_unkc_1_19
10|Man on fire|7.7|2004|popular|/detail/0QSSVY2J3P92G3CWZQ9BF26LTO/ref=atv_br_def_r_br_c_unkc_1_13
7|The Report|7.2|2019|popular|/detail/0O2TSKQMQO8KX64OZRVAR23PAY/ref=atv_br_def_r_br_c_unkc_1_9
11|Je Suis Une Legende|7.2|2007|popular|/detail/0FJWILKCJYU7APL96JWPKWAVBL/ref=atv_br_def_r_br_c_unkc_1_15
5|The Upside|6.9|2019|popular|/detail/0JTCUOIHF44GV4SJ7JRR9ZH9AT/ref=atv_br_def_r_br_c_unkc_1_6
13|Troop Zero|6.9|2020|popular|/detail/0KIYC99ET2PWZ9JE4AGCH4E438/ref=atv_br_def_r_br_c_unkc_1_17
12|Brittany Court un Marathon|6.8|2019|popular|/detail/0Q7JWTW0K5RGQKER8PIPE53CXK/ref=atv_br_def_r_br_c_unkc_1_16
4|Les Aéronautes|6.6|2019|popular|/detail/0TZYI3Y85VLMBHPOLXSX9APA6U/ref=atv_br_def_r_br_c_unkc_1_5
1|Guns Akimbo|6.3|2019|popular|/detail/0JKUY9764VSG15RM4X2BBPVF3I/ref=atv_br_def_r_br_c_unkc_1_1
3|Blow The Man Down|6.3|2020|popular|/detail/0FFO2SYLG9WLE1QMZUPTQ8JIND/ref=atv_br_def_r_br_c_unkc_1_3
2|Aftermath|5.7|2017|popular|/detail/0OO5D43M19SPOD9M9E6DM5UAYO/ref=atv_br_def_r_br_c_unkc_1_2
8|Chiara Ferragni Unposted|3.5|2019|popular|/detail/0QOLSU4L7KAYU359GU5PSLPJFZ/ref=atv_br_def_r_br_c_unkc_1_11
