id|name|imdbScore|year|category|link
316|Gleason|9.5|2016|popular|https://www.primevideo.com/detail/0IQXI2ZO1MZ21MSNQKP4Y867BX/ref=atv_br_def_r_br_c_zbfcqvsmr_1_490
14|Le Parrain|9.2|1972|popular|https://www.primevideo.com/detail/0QX1EUXLLBS07CXIW1KY9F1K68/ref=atv_br_def_r_br_c_unkc_1_18
26|Le Parrain 2|9.0|1974|popular|https://www.primevideo.com/detail/0TAAGS7WOSGN9D83MX6YI2JZMH/ref=atv_br_def_r_br_c_zbfcqvsmr_1_30
20|Fight Club|8.8|1999|popular|https://www.primevideo.com/detail/0GDP9E5PK17E66TK19EJL1X30J/ref=atv_br_def_r_br_c_zbfcqvsmr_1_24
84|Forrest Gump|8.8|1994|popular|https://www.primevideo.com/detail/0NHF7IFLIDER9XNBFBK2HLMQXC/ref=atv_br_def_r_br_c_zbfcqvsmr_1_101
249|Inception|8.8|2010|popular|https://www.primevideo.com/detail/0HBUB1JMA08CJWY8V76RCRPTSP/ref=atv_br_def_r_br_c_zbfcqvsmr_1_323
176|Life Is Beautiful|8.6|1997|popular|https://www.primevideo.com/detail/0KABYAV8SISV53NP13IDKKCI0I/ref=atv_br_def_r_br_c_zbfcqvsmr_1_216
9|Gladiator|8.5|2000|popular|https://www.primevideo.com/detail/0I9W28WNYJE1W14IIK4D3UP4M3/ref=atv_br_def_r_br_c_unkc_1_12
24|Retour vers le futur|8.5|1985|popular|https://www.primevideo.com/detail/0FO3JJKL18L628YMPPPX63TRZO/ref=atv_br_def_r_br_c_zbfcqvsmr_1_28
148|American History X|8.5|1999|popular|https://www.primevideo.com/detail/0P56TSYTFY86UDP3S5TG2N63MV/ref=atv_br_def_r_br_c_zbfcqvsmr_1_176
295|Usual Suspects|8.5|1995|popular|https://www.primevideo.com/detail/0FSCV3WQWHRQ57L3K0BWGJP8O7/ref=atv_br_def_r_br_c_zbfcqvsmr_1_431
16|Indiana Jones et les Aventuriers de l'Arche Perdue|8.4|1981|popular|https://www.primevideo.com/detail/0QSRYPU0NZWSWAWCCN34AQ9BN4/ref=atv_br_def_r_br_c_unkc_1_20
229|Il était une fois en Amérique|8.4|1984|popular|https://www.primevideo.com/detail/0ND6SCFEYWIRDPBK2GIWSP6UJM/ref=atv_br_def_r_br_c_zbfcqvsmr_1_289
19|Inglourious Basterds|8.3|2009|popular|https://www.primevideo.com/detail/0OO2I8SGWJ128GHUY1404Z1V5P/ref=atv_br_def_r_br_c_zbfcqvsmr_1_23
379|Reservoir Dogs|8.3|1992|popular|https://www.primevideo.com/detail/0MNM1S7E9MHWRFI7MBFM18N94F/ref=atv_br_def_r_br_c_zbfcqvsmr_1_727
461|Mathu Vadalara|8.3|2019|popular|https://www.primevideo.com/detail/0N0GVANIJJEAS04V3AMLRDHKDP/ref=atv_br_def_r_br_c_zbfcqvsmr_1_1281
472|Red Pill, The (French Parisian)|8.3|2017|popular|https://www.primevideo.com/detail/0NHG5QIZDQV12I3KR7D7L03JUV/ref=atv_br_def_r_br_c_zbfcqvsmr_1_1409
31|Indiana Jones et la Dernière Croisade™|8.2|1989|popular|https://www.primevideo.com/detail/0GQGHH6W20WWMYTFA0W2B4Z9SE/ref=atv_br_def_r_br_c_zbfcqvsmr_1_36
56|Heat|8.2|1995|popular|https://www.primevideo.com/detail/0LPIETH9MIDPC7M1TBM4U7BV4I/ref=atv_br_def_r_br_c_zbfcqvsmr_1_65
143|L.A. Confidential|8.2|1997|popular|https://www.primevideo.com/detail/0LL8YJ5XGF1AIXTIOLQQX5P8XY/ref=atv_br_def_r_br_c_zbfcqvsmr_1_171
213|Un Homme D'Exception|8.2|2002|popular|https://www.primevideo.com/detail/0T61TMSIMOVJU5KRJG3LG75BEQ/ref=atv_br_def_r_br_c_zbfcqvsmr_1_265
328|K.G.F: Chapter 1 (Hindi)|8.2|2018|popular|https://www.primevideo.com/detail/0S3QBNP7336VVT7JJCVVIRHA1L/ref=atv_br_def_r_br_c_zbfcqvsmr_1_528
345|Rammstein in Amerika (Documentary)|8.2|2016|popular|https://www.primevideo.com/detail/0I9YENG8BZXPWVUMMRTKFSZ6LU/ref=atv_br_def_r_br_c_zbfcqvsmr_1_597
362|Gully Boy|8.2|2019|popular|https://www.primevideo.com/detail/0I5OF8K1O8JNLUPOQ3VU3MBR5I/ref=atv_br_def_r_br_c_zbfcqvsmr_1_661
412|Arnaques, crimes et botanique|8.2|1998|popular|https://www.primevideo.com/detail/0RE46657OBQEWHAQFQ0WT9ILMF/ref=atv_br_def_r_br_c_zbfcqvsmr_1_906
470|There Will Be Blood|8.2|2008|popular|https://www.primevideo.com/detail/0JP0T05OA8FXPL4UIWKX5ZDGRJ/ref=atv_br_def_r_br_c_zbfcqvsmr_1_1370
18|Jurassic Park|8.1|1993|popular|https://www.primevideo.com/detail/0L8FKO6LQF7C8M7OIOLHIC566C/ref=atv_br_def_r_br_c_zbfcqvsmr_1_22
39|The Big Lebowski|8.1|1998|popular|https://www.primevideo.com/detail/0P55UVS5P5PIEW0OBJ44A64Q23/ref=atv_br_def_r_br_c_zbfcqvsmr_1_44
83|Non, Ce Pays N'Est Pas Pour Le Vieil Homme|8.1|2007|popular|https://www.primevideo.com/detail/0NHF5K8ORZF8DJ1OHOD6ACJTWF/ref=atv_br_def_r_br_c_zbfcqvsmr_1_99
131|Make Us Dream|8.1|2018|popular|https://www.primevideo.com/detail/0MRWQ8SCAMKPV8N54ODBDOLB39/ref=atv_br_def_r_br_c_zbfcqvsmr_1_157
133|Kill Bill : Volume 1|8.1|2004|popular|https://www.primevideo.com/detail/0J3PELLU8KXU3JWDRLFDKMMPO0/ref=atv_br_def_r_br_c_zbfcqvsmr_1_159
195|Arrête-Moi Si Tu Peux|8.1|2002|popular|https://www.primevideo.com/detail/0T1RKA5DY5Z7YSQ3XG4W1F47CG/ref=atv_br_def_r_br_c_zbfcqvsmr_1_240
347|Andy Murray : Refaire surface|8.1|2019|popular|https://www.primevideo.com/detail/0TRFI7RAT1WW8YIA2N4GBL52ZI/ref=atv_br_def_r_br_c_zbfcqvsmr_1_604
399|Into the Wild|8.1|2007|popular|https://www.primevideo.com/detail/0PQER6UBRU8ZHGA8XD0WGBUU8I/ref=atv_br_def_r_br_c_zbfcqvsmr_1_818
444|Zeitgeist: Le Film (Zeitgeist: The Movie)|8.1|2007|popular|https://www.primevideo.com/detail/0MNLR8FXKETQW9FJBE0YW4KZC7/ref=atv_br_def_r_br_c_zbfcqvsmr_1_1142
90|Virus|8.0|2019|popular|https://www.primevideo.com/detail/0L493H3ROU1R765V3TGKALTFPF/ref=atv_br_def_r_br_c_zbfcqvsmr_1_107
94|Les Dents de la mer|8.0|1975|popular|https://www.primevideo.com/detail/0N4N2W6A1ZY84LLAZXOME4WIK5/ref=atv_br_def_r_br_c_zbfcqvsmr_1_112
101|La vengeance dans la peau|8.0|2007|popular|https://www.primevideo.com/detail/0PQH3TMRX1WLLQRT9BX4F4JT2C/ref=atv_br_def_r_br_c_zbfcqvsmr_1_119
113|Jfk|8.0|1991|popular|https://www.primevideo.com/detail/0KN5B0OK773MH5E9TR90U81406/ref=atv_br_def_r_br_c_zbfcqvsmr_1_136
