id|name|imdbScore|year|category|link
75|Le Terminal|7.3|2004|drama|https://www.primevideo.com/detail/0ST9HAOV9Q3I5OYVWQLT4ZW8DN/ref=br_def_r_br_c_ds4sVpsmr_1_233
77|Les Leçons de la Vie|7.3|1994|drama|https://www.primevideo.com/detail/0FBB1TWV0G8G0WQPZAEIKCRUFA/ref=br_def_r_br_c_ds4sVpsmr_1_245
81|The Place Beyond The Pines|7.3|2012|drama|https://www.primevideo.com/detail/0FWMV02SAQ2OA19FQMFUJAT7M4/ref=br_def_r_br_c_ds4sVpsmr_1_283
93|Potins De Femmes|7.3|1989|drama|https://www.primevideo.com/detail/0PQF88HZHQ1V1BTF5AEZDQRM9R/ref=br_def_r_br_c_ds4sVpsmr_1_512
22|Dragon rouge|7.2|2002|drama|https://www.primevideo.com/detail/0IQX3NUQ9JD42E6SJLSMJ8ELAZ/ref=br_def_r_br_c_ds4sVpsmr_1_37
72|La Puissance de l'ange|7.2|1992|drama|https://www.primevideo.com/detail/0TEKSY0H8USVOICZ8TCUBPX7SZ/ref=br_def_r_br_c_ds4sVpsmr_1_218
85|Pataakha|7.2|2018|drama|https://www.primevideo.com/detail/0G9GSSXHF3LZ16IN41T3M54404/ref=br_def_r_br_c_ds4sVpsmr_1_309
88|The Patriot : Le Chemin De La Liberte|7.2|2000|drama|https://www.primevideo.com/detail/0FFKVBYKIGMYFAE57WW53CFW9D/ref=br_def_r_br_c_ds4sVpsmr_1_346
92|Nos Souvenirs Brûlés|7.2|2007|drama|https://www.primevideo.com/detail/0RE33TBWKU0CVZHY6RDX0O6OYR/ref=br_def_r_br_c_ds4sVpsmr_1_499
17|8 Mile|7.1|2003|drama|https://www.primevideo.com/detail/0GDNZSM9LHLVJXQ915BLH1CL6W/ref=br_def_r_br_c_ds4sVpsmr_1_29
31|La guerre selon Charlie Wilson|7.1|2008|drama|https://www.primevideo.com/detail/0P0U60N78BVFA1RYAKCF45LZF2/ref=br_def_r_br_c_ds4sVpsmr_1_53
74|Public Enemies|7.0|2009|drama|https://www.primevideo.com/detail/0S7X9F2ZNHR7121BPAHZIUZ3YB/ref=br_def_r_br_c_ds4sVpsmr_1_230
76|Mohalla Assi|7.0|2018|drama|https://www.primevideo.com/detail/0K1VIQQKAARBUUKD6A1LJ5VP0J/ref=br_def_r_br_c_ds4sVpsmr_1_244
83|Black Snake Moan|7.0|2007|drama|https://www.primevideo.com/detail/0QBQ1V87B1MD3NV6TSPNVCSO0Q/ref=br_def_r_br_c_ds4sVpsmr_1_295
3|Guava Island|6.9|2019|drama|https://www.primevideo.com/detail/0MRX5JGS7TX6RKG1WHSDU9BYAL/ref=br_def_r_br_c_ds4sVpsmr_1_3
44|Stay|6.9|2005|drama|https://www.primevideo.com/detail/0JGIS27JAUS9DYMW2BO0Z64G3S/ref=br_def_r_br_c_ds4sVpsmr_1_91
49|Vanilla Sky|6.9|2001|drama|https://www.primevideo.com/detail/0RQVI6GG4AXP1XRJHYLKC1IL9O/ref=br_def_r_br_c_ds4sVpsmr_1_121
9|Sécurité rapprochée|6.8|2012|drama|https://www.primevideo.com/detail/0SOZK9U5OTPM0B8ITM4VFJ86L1/ref=br_def_r_br_c_ds4sVpsmr_1_13
12|Au bout de la nuit|6.8|2008|drama|https://www.primevideo.com/detail/0OFJZZ78QX7QIFZG8NHKERFQ5V/ref=br_def_r_br_c_ds4sVpsmr_1_17
18|Hannibal|6.8|2001|drama|https://www.primevideo.com/detail/0TRC59OWVIX3VWEG9J6TW9JWZD/ref=br_def_r_br_c_ds4sVpsmr_1_30
1|The Upside|6.7|2019|drama|https://www.primevideo.com/detail/0JTCUOIHF44GV4SJ7JRR9ZH9AT/ref=br_def_r_br_c_ds4sVpsmr_1_1
4|Robin des Bois|6.7|2010|drama|https://www.primevideo.com/detail/0I5LVHEYZFZ51QTL86QYXWQ1QW/ref=br_def_r_br_c_ds4sVpsmr_1_4
13|Infidèle|6.7|2002|drama|https://www.primevideo.com/detail/0HBTFTRG4UE2D8BSKQARL3P86C/ref=br_def_r_br_c_ds4sVpsmr_1_18
64|Le Prince Des Marees|6.7|1991|drama|https://www.primevideo.com/detail/0HG1JHZFWYYJ8BG08HFGWHWJN7/ref=br_def_r_br_c_ds4sVpsmr_1_175
73|Danse ta vie|6.7|2000|drama|https://www.primevideo.com/detail/0PHWCY2NCD8CKFFDXX8TS7Y9JW/ref=br_def_r_br_c_ds4sVpsmr_1_225
82|Les stars ne meurent pas à Liverpool|6.7|2017|drama|https://www.primevideo.com/detail/0NQ0A82SPXD957HJC0WP1E061S/ref=br_def_r_br_c_ds4sVpsmr_1_292
78|Dans l'ombre de Manhattan|6.6|1997|drama|https://www.primevideo.com/detail/0KVN71L7W1LG0DKCSMAKROG8VR/ref=br_def_r_br_c_ds4sVpsmr_1_246
89|The Weather Man|6.6|2005|drama|https://www.primevideo.com/detail/0JGHRWKRKQXHEIWPOGHZAWL3AW/ref=br_def_r_br_c_ds4sVpsmr_1_379
10|Contrebande|6.5|2012|drama|https://www.primevideo.com/detail/0RQWEMPS1NOCZ2BJ7GP5MFLF3O/ref=br_def_r_br_c_ds4sVpsmr_1_15
15|Mr. & Mrs. Smith|6.5|2005|drama|https://www.primevideo.com/detail/0LGZH3ICDHL2EPVFAH39EF9N6O/ref=br_def_r_br_c_ds4sVpsmr_1_22
35|La Vie, ma vie|6.5|2017|drama|https://www.primevideo.com/detail/0HX4DSQG5JXIQ0Z62VCNXBGZC7/ref=br_def_r_br_c_ds4sVpsmr_1_67
45|Contre-enquête|6.5|1990|drama|https://www.primevideo.com/detail/0KZXNWUB9RR2LHUW1R71MK7A3V/ref=br_def_r_br_c_ds4sVpsmr_1_94
47|Footloose|6.5|1984|drama|https://www.primevideo.com/detail/0JKR7SACG74DWW16WOQMQIBEWM/ref=br_def_r_br_c_ds4sVpsmr_1_96
53|Stop-Loss|6.5|2008|drama|https://www.primevideo.com/detail/0KZWNTG4L0DABKR58E1NE6LC1O/ref=br_def_r_br_c_ds4sVpsmr_1_128
54|Dreamgirls|6.5|2006|drama|https://www.primevideo.com/detail/0M29TDWLIHCCEC3JQBL3CY6UNU/ref=br_def_r_br_c_ds4sVpsmr_1_129
65|Affaires Privées|6.5|1990|drama|https://www.primevideo.com/detail/0PHWOBFX7FI4W9PLFK9BZBUHZN/ref=br_def_r_br_c_ds4sVpsmr_1_177
87|Guilty By Suspicion|6.5|1991|drama|https://www.primevideo.com/detail/0LPIF7HDK347Z181Z41RHZAPCX/ref=br_def_r_br_c_ds4sVpsmr_1_321
56|Cobb|6.4|1994|drama|https://www.primevideo.com/detail/0LL8XE64MAGZ5EHUSTG6765IXS/ref=br_def_r_br_c_ds4sVpsmr_1_134
71|Avec ou sans hommes|6.4|1995|drama|https://www.primevideo.com/detail/0NPZ2PYQ4M25UXF00359PKAV70/ref=br_def_r_br_c_ds4sVpsmr_1_214
55|True Story|6.3|2015|drama|https://www.primevideo.com/detail/0LL802ORJP1VCKDG4UQ5CEG4BF/ref=br_def_r_br_c_ds4sVpsmr_1_131
11|Le Joueur de base-ball était un Espion|6.2|2018|drama|https://www.primevideo.com/detail/0N4OWUVP6CEG0MRZZ34D018NSX/ref=br_def_r_br_c_ds4sVpsmr_1_16
79|Foxfire, confessions d'un gang de filles|6.2|1996|drama|https://www.primevideo.com/detail/0MJBJ6VWD8GL0W9BVLQMR6SUWP/ref=br_def_r_br_c_ds4sVpsmr_1_247
90|Visionnistes (Visioneers)|6.1|2008|drama|https://www.primevideo.com/detail/0G564NQ5MXTBJ3VKXZRZI8EIPA/ref=br_def_r_br_c_ds4sVpsmr_1_399
20|Miami Vice - Deux Flics a Miami|6.0|2006|drama|https://www.primevideo.com/detail/0J3PGIWTRA29ASREDD3M6ORUA7/ref=br_def_r_br_c_ds4sVpsmr_1_32
27|Aiguilleurs, Les|6.0|1999|drama|https://www.primevideo.com/detail/0N8X9JG5DAJY8RIG2FWPN5NXWO/ref=br_def_r_br_c_ds4sVpsmr_1_43
37|World Trade Center|6.0|2006|drama|https://www.primevideo.com/detail/0FBAXJPMYU68HDVI6AKBFTNFH9/ref=br_def_r_br_c_ds4sVpsmr_1_71
23|Mange, prie, aime|5.8|2010|drama|https://www.primevideo.com/detail/0L46JTE9LMLOE7942X0JKQ2Q1Q/ref=br_def_r_br_c_ds4sVpsmr_1_38
84|Étoile du soir|5.8|1996|drama|https://www.primevideo.com/detail/0NLONT93PCT47QI23KT770C3YW/ref=br_def_r_br_c_ds4sVpsmr_1_308
34|CHI-RAQ|5.7|2015|drama|https://www.primevideo.com/detail/0JC8QI0514190M4SP06A4SZDXV/ref=br_def_r_br_c_ds4sVpsmr_1_63
43|Family Business|5.7|1989|drama|https://www.primevideo.com/detail/0KZXNWTLOPRA6B2RLNKT9TE0WV/ref=br_def_r_br_c_ds4sVpsmr_1_88
91|Presque Adultes (Almost Adults)|5.6|2017|drama|https://www.primevideo.com/detail/0RQWCMX9JXUTOJNL5QQC5IX1CK/ref=br_def_r_br_c_ds4sVpsmr_1_431
57|Mots retrouvés, Les|5.5|2005|drama|https://www.primevideo.com/detail/0ST9JGPCVHLIP1AIMVQ1Q2B5MC/ref=br_def_r_br_c_ds4sVpsmr_1_135
26|Bel Canto|5.3|2019|drama|https://www.primevideo.com/detail/0U47BB70PTTDXXGUNRH6I0AHR8/ref=br_def_r_br_c_ds4sVpsmr_1_42
86|When a Stranger Calls|5.1|2006|drama|https://www.primevideo.com/detail/0G0WGMABQNLHE9JPPOFL81K4X3/ref=br_def_r_br_c_ds4sVpsmr_1_318
8|Fille du Président, La|5.0|2004|drama|https://www.primevideo.com/detail/0S3OTOP9CWALEIDH2O4SZXX5KX/ref=br_def_r_br_c_ds4sVpsmr_1_10
60|La Baby-sitter|4.3|1995|drama|https://www.primevideo.com/detail/0LL7WTKLWBFLEFLGYFAS9F44LO/ref=br_def_r_br_c_ds4sVpsmr_1_155
19|Dirty Dancing : Émission spéciale|3.1|2017|drama|https://www.primevideo.com/detail/0S7Y20KGP11DRGK4SC6HPW2RPM/ref=br_def_r_br_c_ds4sVpsmr_1_31
78|Retour vers le futur|8.5|1985|comedy|https://www.primevideo.com/detail/0FO3JJKL18L628YMPPPX63TRZO/ref=br_def_r_br_c_HxROdRsmr_1_209
53|Brazil|8.0|1985|comedy|https://www.primevideo.com/detail/0QX2AQ1LVNKHG0POOIMBBJEF47/ref=br_def_r_br_c_HxROdRsmr_1_117
30|Fantastic Mr. Fox|7.9|2009|comedy|https://www.primevideo.com/detail/0NHG64SVZNOS6V3SB8D2M5XCJ8/ref=br_def_r_br_c_HxROdRsmr_1_50
60|Presque célèbre|7.9|2000|comedy|https://www.primevideo.com/detail/0TZVHT1KDGD8GIMJLM22FJX8NK/ref=br_def_r_br_c_HxROdRsmr_1_133
19|Y A-T-Il Un Pilote Dans L'Avion ?|7.8|1980|comedy|https://www.primevideo.com/detail/0MF27TDS99IGSDWV6G5YQP6L2D/ref=br_def_r_br_c_HxROdRsmr_1_34
27|Sos Fantômes|7.8|1984|comedy|https://www.primevideo.com/detail/0TITR0NXGNP7U87MRF1VNA27WI/ref=br_def_r_br_c_HxROdRsmr_1_47
81|Retour vers le futur 2|7.8|1989|comedy|https://www.primevideo.com/detail/0N4NME5GAMKP6VYVWUXMM7XKJB/ref=br_def_r_br_c_HxROdRsmr_1_215
28|Little Manhattan|7.6|2005|comedy|https://www.primevideo.com/detail/0K63HU6L4U4CEYA1U2ILZ0TH4V/ref=br_def_r_br_c_HxROdRsmr_1_48
50|Monty Python, le sens de la vie|7.6|1983|comedy|https://www.primevideo.com/detail/0KAC25XAYKT1UYWF10T7HCZAYT/ref=br_def_r_br_c_HxROdRsmr_1_111
59|Scott Pilgrim|7.5|2010|comedy|https://www.primevideo.com/detail/0QSRTV46ZSEKHTNYIJ1A5MFZL0/ref=br_def_r_br_c_HxROdRsmr_1_131
9|Retour vers le futur 3|7.4|1990|comedy|https://www.primevideo.com/detail/0JP2KS4P59W3RLURWAUDQAZYRE/ref=br_def_r_br_c_HxROdRsmr_1_15
72|Jerry Maguire|7.3|1996|comedy|https://www.primevideo.com/detail/0RQVYKO5DAYGLYXO23DZYTH82Y/ref=br_def_r_br_c_HxROdRsmr_1_178
100|Potins De Femmes|7.3|1989|comedy|https://www.primevideo.com/detail/0PQF88HZHQ1V1BTF5AEZDQRM9R/ref=br_def_r_br_c_HxROdRsmr_1_447
16|Grease|7.2|1978|comedy|https://www.primevideo.com/detail/0N4MVA2K8KMQY6FKCK6T2FZN6L/ref=br_def_r_br_c_HxROdRsmr_1_27
